match_id,team,possession,goals,total_attempts,on_target_attempts,attempts_inside_area,final_third_receptions,attempted_line_breaks,completed_line_breaks,passes_completed,crosses,forced_turnovers,defensive_pressures,red_cards,efficiency,build_up_score,max_goals,win,match_result
0,QATAR,42,0,5,0,2,5,136,86,381,9,52,256,0,0.0,227,2,0,L
1,ENGLAND,72,6,13,7,10,16,238,178,730,23,63,139,0,0.8571428571428571,432,6,1,W
2,SENEGAL,44,0,14,3,7,15,151,89,313,19,63,263,0,0.0,255,2,0,L
3,UNITED STATES,51,1,6,1,4,12,199,146,509,31,81,242,0,1.0,357,1,1,D
4,ARGENTINA,64,1,14,6,10,26,191,127,529,29,65,163,0,0.16666666666666666,344,2,0,L
5,DENMARK,55,0,11,4,7,14,190,136,523,27,76,226,0,0.0,340,0,1,D
6,MEXICO,54,0,13,4,10,20,170,117,422,33,61,193,0,0.0,307,0,1,D
7,FRANCE,56,4,22,7,18,26,173,135,672,34,64,250,0,0.5714285714285714,334,4,1,W
8,MOROCCO,32,0,8,2,3,4,142,81,290,10,87,391,0,0.0,227,0,1,D
9,GERMANY,65,1,25,9,15,19,241,185,743,28,55,164,0,0.1111111111111111,445,2,0,L
10,SPAIN,74,7,17,7,12,23,276,233,1003,17,46,185,0,1.0,532,7,1,W
11,BELGIUM,46,1,9,3,6,8,175,118,439,8,74,284,0,0.3333333333333333,301,1,1,W
12,SWITZERLAND,43,1,8,3,6,13,178,123,437,28,64,313,0,0.3333333333333333,314,1,1,W
13,URUGUAY,49,0,10,0,7,4,146,88,459,16,65,240,0,0.0,238,0,1,D
14,PORTUGAL,55,3,11,5,7,20,198,149,573,17,70,286,0,0.6,367,3,1,W
15,BRAZIL,53,2,24,10,11,11,184,134,526,19,72,236,0,0.2,329,2,1,W
16,WALES,51,0,10,3,5,13,208,129,413,20,89,161,1,0.0,350,2,0,L
17,QATAR,42,1,10,2,4,9,174,117,353,18,67,308,0,0.5,300,3,0,L
18,NETHERLANDS,48,1,2,1,0,4,168,115,451,8,85,254,0,1.0,287,1,1,D
19,ENGLAND,51,0,8,3,6,10,208,147,488,13,52,266,0,0.0,365,0,1,D
20,TUNISIA,50,0,13,4,9,13,200,109,396,23,81,217,0,0.0,322,1,0,L
21,POLAND,30,2,8,3,8,14,150,84,236,19,69,329,0,0.6666666666666666,248,2,1,W
22,FRANCE,44,2,21,6,16,11,155,105,437,23,79,269,0,0.3333333333333333,271,2,1,W
23,ARGENTINA,50,2,5,2,2,2,150,100,464,14,63,220,0,1.0,252,2,1,W
24,JAPAN,48,0,14,3,7,5,158,95,510,17,47,300,0,0.0,258,1,0,L
25,BELGIUM,56,0,10,4,5,4,149,104,598,19,38,194,0,0.0,257,2,0,L
26,CROATIA,41,4,13,10,9,15,193,124,391,22,87,347,0,0.4,332,4,1,W
27,SPAIN,56,1,7,3,3,16,186,146,565,9,79,275,0,0.3333333333333333,348,1,1,D
28,CAMEROON,38,3,13,8,9,15,173,78,271,20,83,285,0,0.375,266,3,1,D
29,KOREA REPUBLIC,53,2,21,6,15,19,201,148,477,46,53,220,0,0.3333333333333333,368,3,0,L
30,BRAZIL,51,1,9,5,6,16,164,114,498,26,85,282,0,0.2,294,1,1,W
31,PORTUGAL,53,2,14,4,4,11,170,112,517,16,68,226,0,0.5,293,2,1,W
32,NETHERLANDS,54,2,13,4,10,16,185,165,740,11,62,319,0,0.5,366,2,1,W
33,ECUADOR,51,1,8,4,5,2,146,77,353,19,59,190,0,0.25,225,2,0,L
34,WALES,33,0,7,1,1,1,104,55,261,4,49,328,0,0.0,160,3,0,L
35,IRAN,42,0,6,2,5,9,195,102,379,18,63,295,0,0.0,306,1,0,L
36,AUSTRALIA,24,1,8,4,3,8,166,81,187,11,90,341,0,0.25,255,1,1,W
37,TUNISIA,30,1,5,3,2,9,153,96,266,27,68,400,0,0.3333333333333333,258,1,1,W
38,POLAND,24,0,4,0,2,2,117,66,261,5,67,438,0,0.0,185,2,0,L
39,SAUDI ARABIA,29,1,10,2,6,6,178,86,197,9,82,269,0,0.5,270,2,0,L
40,CROATIA,43,0,11,4,7,17,204,159,504,24,70,328,0,0.0,380,0,1,D
41,CANADA,52,1,5,0,4,8,153,91,472,20,66,224,0,0.0,252,2,0,L
42,JAPAN,14,2,6,3,4,10,104,57,167,6,85,637,0,0.6666666666666666,171,2,1,W
43,COSTA RICA,27,2,8,6,6,10,154,103,269,12,79,378,0,0.3333333333333333,267,4,0,L
44,GHANA,46,0,9,4,4,8,188,111,377,20,92,248,0,0.0,307,2,0,L
45,KOREA REPUBLIC,34,2,12,6,6,8,139,87,304,13,54,359,0,0.3333333333333333,234,2,1,W
46,SERBIA,45,2,11,4,10,7,157,95,390,23,74,276,0,0.5,259,3,0,L
47,CAMEROON,31,1,7,3,5,9,144,92,239,12,78,321,1,0.3333333333333333,245,1,1,W
48,NETHERLANDS,33,3,11,6,7,8,161,95,320,13,101,325,0,0.5,264,3,1,W
49,ARGENTINA,53,2,14,5,11,8,181,135,635,6,67,240,0,0.4,324,2,1,W
50,FRANCE,48,3,16,7,10,14,174,111,481,27,71,220,0,0.42857142857142855,299,3,1,W
51,ENGLAND,54,3,8,4,7,11,184,129,523,19,60,230,0,0.75,324,3,1,W
52,JAPAN,35,1,12,4,5,8,229,116,414,28,100,405,0,0.25,353,1,1,D
53,BRAZIL,47,4,18,9,14,17,193,145,556,18,73,310,0,0.4444444444444444,355,4,1,W
54,MOROCCO,22,0,6,3,3,10,164,86,229,10,100,573,0,0.0,260,0,1,D
55,PORTUGAL,43,6,14,9,9,9,165,98,392,14,71,357,0,0.6666666666666666,272,6,1,W
56,CROATIA,45,1,9,1,5,10,240,180,632,22,95,365,0,1.0,430,1,1,D
57,NETHERLANDS,45,2,5,2,3,5,194,130,557,22,91,401,1,1.0,329,2,1,D
58,MOROCCO,22,1,9,3,5,6,128,63,171,8,88,373,1,0.3333333333333333,197,1,1,W
59,ENGLAND,54,1,14,6,6,8,147,108,453,22,49,193,0,0.16666666666666666,263,2,0,L
60,ARGENTINA,34,3,10,7,7,7,147,91,344,8,85,321,0,0.42857142857142855,245,3,1,W
61,FRANCE,34,2,14,2,12,8,126,85,307,5,72,328,0,1.0,219,2,1,W
62,CROATIA,45,2,14,4,7,15,164,114,430,21,75,288,0,0.5,293,2,1,W
63,ARGENTINA,46,3,21,9,10,43,223,151,544,20,87,280,0,0.3333333333333333,417,3,1,D
0,ECUADOR,50,2,6,3,4,8,155,99,409,14,72,279,0,0.6666666666666666,262,2,1,W
1,IRAN,19,2,8,3,6,4,101,45,154,8,72,416,0,0.6666666666666666,150,6,0,L
2,NETHERLANDS,45,2,9,3,5,14,162,96,374,25,73,251,0,0.6666666666666666,272,2,1,W
3,WALES,39,1,7,3,5,9,174,103,321,15,72,292,0,0.3333333333333333,286,1,1,D
4,SAUDI ARABIA,24,2,3,2,3,9,137,68,190,9,80,361,0,1.0,214,2,1,W
5,TUNISIA,33,0,11,1,6,7,174,85,302,13,73,287,0,0.0,266,0,1,D
6,POLAND,31,0,8,1,7,3,150,82,241,10,70,290,0,0.0,235,0,1,D
7,AUSTRALIA,35,1,4,1,2,7,133,84,399,9,56,316,0,1.0,224,4,0,L
8,CROATIA,57,0,6,2,4,9,169,116,592,19,58,217,0,0.0,294,0,1,D
9,JAPAN,22,2,10,3,10,10,113,70,207,16,87,487,0,0.6666666666666666,193,2,1,W
10,COSTA RICA,17,0,0,0,0,1,119,58,170,5,76,585,0,0.0,178,7,0,L
